project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ES, VI",28.733014070371205,26.73616106438515,1.996853005986054,10
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"RU, VI",28.550794745859196,26.73616106438515,1.8146336814740458,11
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ID, VI",26.86864590320692,26.73616106438515,0.13248483882177098,12
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"RU, ZH_CN",26.72735881028833,26.73616106438515,-0.008802254096821116,13
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ID, RU",25.836913198574347,26.73616106438515,-0.8992478658108034,14
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"FR, VI",23.76512566519718,26.73616106438515,-2.971035399187972,15
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"FR, ID",22.33331939246832,26.73616106438515,-4.402841671916832,16
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, ID",22.12768601953335,26.73616106438515,-4.608475044851801,17
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, VI",21.05569095508964,26.73616106438515,-5.680470109295509,18
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"VI, ZH_CN",19.9806591652882,26.73616106438515,-6.755501899096952,19
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ID, ZH_CN",19.718464011177343,26.73616106438515,-7.017697053207808,20
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"FR, RU",19.51992600404278,26.73616106438515,-7.21623506034237,21
gstreamer_v1.27.90,LLAMA,ctx-2,"ES, ID",30.28409390954252,20.046165419348068,10.237928490194452,1
gstreamer_v1.27.90,LLAMA,ctx-2,"ES, FR",29.6992283123442,20.046165419348068,9.653062892996132,2
gstreamer_v1.27.90,LLAMA,ctx-2,"FR, RU",28.702940934345055,20.046165419348068,8.656775514996987,3
gstreamer_v1.27.90,LLAMA,ctx-2,"FR, ID",28.157010773947807,20.046165419348068,8.11084535459974,4
gstreamer_v1.27.90,LLAMA,ctx-2,"FR, VI",27.06011052185683,20.046165419348068,7.013945102508764,5
gstreamer_v1.27.90,LLAMA,ctx-2,"ES, RU",25.934224452698373,20.046165419348068,5.888059033350306,6
gstreamer_v1.27.90,LLAMA,ctx-2,"FR, ZH_CN",25.527420654284548,20.046165419348068,5.48125523493648,7
gstreamer_v1.27.90,LLAMA,ctx-2,"ES, VI",25.27615442638441,20.046165419348068,5.229989007036341,8
gstreamer_v1.27.90,LLAMA,ctx-2,"ES, ZH_CN",24.716157757090215,20.046165419348068,4.669992337742148,9
gstreamer_v1.27.90,LLAMA,ctx-2,"RU, VI",24.5419490473097,20.046165419348068,4.495783627961632,10
gstreamer_v1.27.90,LLAMA,ctx-2,"ID, RU",24.53988824463239,20.046165419348068,4.493722825284323,11
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, ES",23.688007517550297,20.046165419348068,3.641842098202229,12
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, FR",23.399561333454635,20.046165419348068,3.3533959141065672,13
gstreamer_v1.27.90,LLAMA,ctx-2,"RU, ZH_CN",23.322666243869737,20.046165419348068,3.276500824521669,14
gstreamer_v1.27.90,LLAMA,ctx-2,"ID, VI",23.2654321476638,20.046165419348068,3.219266728315734,15
gstreamer_v1.27.90,LLAMA,ctx-2,"ID, ZH_CN",22.34906197245,20.046165419348068,2.302896553101931,16
gstreamer_v1.27.90,LLAMA,ctx-2,"VI, ZH_CN",21.83445752328764,20.046165419348068,1.7882921039395718,17
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, VI",21.647101719132973,20.046165419348068,1.6009362997849053,18
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, ID",21.108194136694063,20.046165419348068,1.0620287173459957,19
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, RU",20.408085325034513,20.046165419348068,0.3619199056864453,20
gstreamer_v1.27.90,LLAMA,ctx-2,"DE, ZH_CN",20.156399816950294,20.046165419348068,0.11023439760222686,21
gtkspell_v3.0.7,LLAMA,ctx-2,"ES, FR",44.54237599499857,22.558676216889932,21.98369977810864,1
gtkspell_v3.0.7,LLAMA,ctx-2,"RU, VI",43.97163221206366,22.558676216889932,21.41295599517373,2
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, ES",41.815329017430294,22.558676216889932,19.256652800540362,3
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, FR",41.815329017430294,22.558676216889932,19.256652800540362,3
gtkspell_v3.0.7,LLAMA,ctx-2,"ES, VI",39.039349608588054,22.558676216889932,16.480673391698122,5
gtkspell_v3.0.7,LLAMA,ctx-2,"FR, RU",38.11839325427148,22.558676216889932,15.55971703738155,6
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, ID",35.1831337472956,22.558676216889932,12.624457530405667,7
gtkspell_v3.0.7,LLAMA,ctx-2,"ES, RU",34.30717276987566,22.558676216889932,11.748496552985731,8
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, RU",34.052443542991746,22.558676216889932,11.493767326101814,9
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, ZH_CN",30.651861825695164,22.558676216889932,8.093185608805232,10
gtkspell_v3.0.7,LLAMA,ctx-2,"FR, VI",30.25666170928428,22.558676216889932,7.6979854923943485,11
gtkspell_v3.0.7,LLAMA,ctx-2,"RU, ZH_CN",29.599994906996464,22.558676216889932,7.041318690106532,12
gtkspell_v3.0.7,LLAMA,ctx-2,"ES, ZH_CN",29.085720874559875,22.558676216889932,6.5270446576699435,13
